Id,Bound
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,0
32,1
33,1
34,1
35,1
36,1
37,0
38,1
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,1
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,0
157,0
158,1
159,0
160,1
161,1
162,1
163,0
164,1
165,1
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,1
175,1
176,0
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,0
201,1
202,1
203,0
204,1
205,1
206,0
207,1
208,0
209,1
210,0
211,1
212,1
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,1
247,0
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,1
257,0
258,0
259,0
260,1
261,1
262,0
263,0
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,0
280,1
281,1
282,0
283,1
284,0
285,1
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,1
295,1
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,0
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,1
344,0
345,0
346,0
347,1
348,0
349,1
350,1
351,0
352,1
353,0
354,0
355,1
356,0
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,1
365,0
366,0
367,1
368,1
369,1
370,0
371,1
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,1
388,0
389,1
390,0
391,1
392,0
393,1
394,1
395,0
396,0
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,0
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,1
435,0
436,1
437,1
438,0
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,0
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,0
470,1
471,1
472,0
473,1
474,1
475,1
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,0
488,1
489,1
490,0
491,1
492,1
493,1
494,0
495,0
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,0
507,0
508,1
509,0
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,0
527,1
528,1
529,1
530,1
531,0
532,1
533,0
534,1
535,1
536,0
537,0
538,1
539,0
540,1
541,0
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,1
557,1
558,0
559,1
560,0
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,0
573,0
574,0
575,1
576,1
577,1
578,0
579,0
580,1
581,1
582,1
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,1
591,0
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,0
600,0
601,0
602,1
603,1
604,1
605,1
606,0
607,0
608,1
609,0
610,0
611,1
612,1
613,1
614,1
615,0
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,0
624,1
625,1
626,1
627,0
628,1
629,0
630,1
631,1
632,1
633,1
634,1
635,0
636,0
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,0
655,0
656,1
657,0
658,1
659,1
660,1
661,1
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,0
679,0
680,1
681,0
682,1
683,1
684,1
685,1
686,1
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,0
696,0
697,0
698,0
699,1
700,0
701,1
702,0
703,0
704,1
705,1
706,1
707,1
708,0
709,1
710,0
711,1
712,1
713,1
714,0
715,1
716,1
717,0
718,1
719,1
720,1
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,1
729,1
730,0
731,0
732,1
733,0
734,1
735,0
736,0
737,0
738,1
739,0
740,1
741,1
742,1
743,0
744,1
745,1
746,1
747,1
748,0
749,1
750,1
751,1
752,1
753,0
754,0
755,1
756,0
757,1
758,0
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,0
771,1
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,0
780,1
781,0
782,0
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,1
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,1
803,1
804,1
805,1
806,0
807,0
808,1
809,1
810,1
811,0
812,0
813,0
814,0
815,0
816,0
817,1
818,1
819,1
820,0
821,0
822,1
823,0
824,0
825,0
826,0
827,1
828,1
829,1
830,0
831,1
832,1
833,1
834,0
835,1
836,1
837,0
838,1
839,1
840,1
841,1
842,0
843,0
844,0
845,1
846,1
847,0
848,1
849,1
850,1
851,1
852,0
853,1
854,1
855,0
856,1
857,1
858,0
859,1
860,1
861,1
862,0
863,0
864,1
865,0
866,0
867,1
868,1
869,1
870,1
871,0
872,0
873,0
874,0
875,1
876,1
877,0
878,1
879,0
880,0
881,0
882,1
883,1
884,1
885,1
886,1
887,0
888,1
889,1
890,0
891,0
892,1
893,1
894,1
895,0
896,1
897,0
898,0
899,1
900,0
901,1
902,1
903,0
904,0
905,1
906,1
907,0
908,1
909,1
910,1
911,1
912,1
913,0
914,0
915,0
916,1
917,0
918,0
919,1
920,1
921,1
922,1
923,1
924,0
925,1
926,1
927,1
928,1
929,0
930,0
931,0
932,0
933,1
934,1
935,1
936,1
937,1
938,0
939,0
940,0
941,1
942,0
943,1
944,0
945,1
946,1
947,1
948,1
949,0
950,0
951,1
952,0
953,0
954,0
955,1
956,0
957,1
958,0
959,1
960,1
961,1
962,0
963,1
964,1
965,0
966,1
967,0
968,1
969,1
970,1
971,0
972,0
973,1
974,1
975,0
976,0
977,1
978,1
979,1
980,1
981,0
982,1
983,1
984,1
985,1
986,1
987,1
988,0
989,1
990,1
991,1
992,1
993,0
994,1
995,0
996,0
997,0
998,0
999,1
1000,0
1001,1
1002,1
1003,1
1004,1
1005,1
1006,1
1007,0
1008,0
1009,0
1010,1
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,1
1018,0
1019,0
1020,1
1021,0
1022,1
1023,1
1024,1
1025,1
1026,1
1027,0
1028,0
1029,0
1030,1
1031,0
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,1
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,1
1055,1
1056,0
1057,1
1058,0
1059,0
1060,1
