No Gram,No Skip,Dataset0,Dataset1,Dataset2

5,0,0.7045454545454548,0.7515151515151517,0.5651515151515152
5,1,0.703030303030303,0.865151515151515,0.5393939393939393
5,2,0.7181818181818183,0.6575757575757577,0.6318181818181822
5,3,0.7090909090909091,0.8803030303030303,0.5924242424242423
5,4,0.7075757575757573,0.8499999999999999,0.4924242424242423
6,0,0.6333333333333331,0.8272727272727277,0.6136363636363635
6,1,0.6772727272727275,0.813636363636364,0.6015151515151516
6,2,0.6621212121212121,0.784848484848485,0.606060606060606
6,3,0.6469696969696968,0.8181818181818181,0.5818181818181819
6,0,0.6863636363636364,0.7454545454545454,0.5757575757575759
